
1,60728193,MAS INSAN KAMIL,JL. MADUKORO KM.12 KLASAMAN,Klasaman,SWASTA
2,69995269,MI AL ISHLAH,Jl. Flamboyan Raya Gg.3 Komplek Harapan Indah Klawuyuk Kota Sorong,Kklawuyuk,SWASTA
3,69854337,MIS Al Kautsar,Jalan Madukoro,Klasaman,SWASTA
4,60724574,MIS ALMAARIF,"JL. BASUKI RAHMAT KM. 9,5",KLADUFU,SWASTA
5,60727099,MIS MI ARRAODA,"JLN.S.KALAGISON  KM.10 MASUK,KAMPUNG BUGIS",Matalamagi,SWASTA
6,60727102,MIS SAINS AL HIDAYAH,"JL. D. E. Osok, Km. 12 Masuk",GIWU,SWASTA
7,60727652,MTSS AZ-ZIKRA,JN. MADUKORO KM.12 KLASAMAN,Klasaman,SWASTA
8,60403811,MTSS EMEYODERE,JL. BASUKI RAHMAT KM. 10 VIKTORI PANTAI,KLASABIT,SWASTA
9,60727654,MTSS MUHAMMADIYAH 1 KOTA SORONG,JL. PENDIDIKAN LORONG 2 (TG. SENEBOY),Klasaman,SWASTA
10,60702908,MTSS SAINS AL GEBRA,JL. ATAA KM. 12,Klasaman,SWASTA
11,60400427,SD AL IRSYAD,Jl.baronang Perumnas,KLAWUYUK,SWASTA
12,60403531,SD AL IZZAH,Jl. sungai remu Malanu,KALASUAT,SWASTA
13,69855677,SD DIBINAPA KOTA SORONG,JL. SIPORANNU RT. 02 RW 04,KLAMANA,SWASTA
14,60400323,SD INPRES 109 PERUMNAS,Jl. Kakap Perumnas,KLAWUYUK,NEGERI
15,60400338,SD INPRES 17 REMU UTARA,Jln.Basuki Rahmat No.25,KALASUAT,NEGERI
16,60400335,SD INPRES 25 KLASAMAN,Jln. Meles,KLASAMAN,NEGERI
17,60400302,SD INPRES 68 KLASAMAN,Jalan Sungai Kamundan,KLAWUYUK,NEGERI
18,60402032,SD NEGERI 6 KLABLIM,Km.18 Klabim,Klablim,NEGERI
19,69858457,SD YPK KHARISMA KOTA SORONG,JL. KLAMONO KM. 14,KLABLIM,SWASTA
20,60400405,SD YPK KLASAMAN 2,Jl.j.malibela Km.11,KLASAMAN,SWASTA
21,60400406,SD YPK KLASAMAN I,Jl.Malakay,KLASAMAN,SWASTA
22,60400465,SD YPPKK MORIA,"Jl. Basuki Rahmat Km. 11,5 Depan Batalyon Yonif 752",KLAWUYUK,SWASTA
23,60403474,SMAS AVEROS,JL. D. E. OSOK KM 12 MASUK,GIWU,SWASTA
24,60400314,SMAS PAPUA 1,JL BASUKI RAHMAT,KLASAMAN,SWASTA
25,60403705,SMAS YPPKK MORIA,JL.BASUKI RAHMAT KM11,KLAWUYUK,SWASTA
26,60400380,SMKN 3 SORONG,JL. BASUKI RAHMAT KM. 12,Kle. Klawuyuk,NEGERI
27,60403606,SMKN 4 KOTA SORONG,"KM. 11,5 KLAWALU SORONG",KLAWALU,NEGERI
28,60403476,SMKN 5 KOTA SORONG,JL. F. KALASUAT,KALASUAT,NEGERI
29,60403916,SMKS JIMERO KOTA SORONG,JL. ARTERI KEL. SAWA GUMU,KLAWUYUK,SWASTA
30,60400381,SMKS PELAYARAN AMPARI SORONG,JL. ANGGREK RAYA NO. 1 KM.12,Kle. Klawuyuk,SWASTA
31,60403614,SMKS TEKNIK INDUSTRI YATIS SORONG,JL. Arteri Samping Mesjid Al-Manar/ F. Kalasuat  Malanu,Kec. Kladufu,SWASTA
32,69966273,SMP EMEYODERE BERBASIS PESANTREN (SBP) KOTA SORONG,JL. KANAL VICTORY PANTAI KM. 10,Kel. Kladufu,SWASTA
33,60400361,SMP NEGERI 5 SORONG,Jl. Basuki Rahmat Km.12,KLAMANA,NEGERI
34,60403615,SMP NUSANTARA KOTA SORONG,Jl. Basuki Rahmat Km.13,Klasaman,SWASTA
35,69952048,SMP YPK SELE BE SOLU KOTA SORONG,JL. KM 12 KLASAMAN RT 001 RW 001 KLASAMAN,KLAWALU,SWASTA
36,60403552,SMP YPPKK MORIA SORONG,Jln. Basuki Rahmat Klawuyuk 11 Sorong,Klawuyuk,SWASTA
37,69760804,SMPN 10 SORONG,"Jln.basuki Rahmat Km 12, Kelamana",tidak diisi,NEGERI
38,69815448,SMPS IT AL IZZAH SORONG,"Jln. Sungai Remu, Malanu",KALASUAT,SWASTA
