
1,60300689,SD INPRES BUPUL 1,Bupul 1,Sipias,NEGERI
2,60300702,SD INPRES BUPUL 10,Kampung Bumun,BUMUN,NEGERI
3,60300716,SD INPRES BUPUL 2,Jln Pelajar,Metaat Makmur,NEGERI
4,60300715,SD INPRES BUPUL 3,Bupul 3 Kampung Enggal Jaya,ENGGAL JAYA,NEGERI
5,60300714,SD INPRES BUPUL 4,Bupul Iv,BUPUL,NEGERI
6,60300713,SD INPRES BUPUL 5,Bupul 5,BUPUL,NEGERI
7,69725728,SD INPRES BUPUL 7,Bupul 7,Tof-Tof,NEGERI
8,60300710,SD INPRES BUPUL 8,Bupul 8,BUNGGAY,NEGERI
9,60300709,SD INPRES BUPUL 9,Bupul 9,Bouwer,NEGERI
10,60300575,SD YPK TANAS,Tanas,Tanaas,SWASTA
11,60300565,SD YPPK BUPUL,Kampung Bupul,ENGGAL JAYA,SWASTA
12,60300561,SD YPPK KWEEL,Kweel,Kweel,SWASTA
13,60302721,SMKN 1 ELIKOBEL,JL. TRANS IRIAN KM 199,Sipias,NEGERI
14,60300622,SMP NEGERI 3 MUTING,Kampung Sipias Bupul 1,SIPIAS,NEGERI
15,60300618,SMP NEGERI 5 MUTING,Kampung Bouwer Bupul 9,BOUWER,NEGERI
