
1,10498848,MAS IHWATUN HASANAH,JL. PELAJAR B. SEMPURNA,-,SWASTA
2,60704489,MIS AL-ANSHOR,JL. PERJUANGAN,-,SWASTA
3,60704490,MIS AN-NUR,JL. PELAJAR NO.49 BANGKO JAYA,-,SWASTA
4,69941327,MIS As-Syakirin,Jl. Sepakat  KM  19. Bangko Lestari,-,SWASTA
5,60704491,MIS AT-THOHIROH,JL. PELAJAR NO. 4,-,SWASTA
6,60704492,MIS FASTABIQUL KHAIRAT,Dusun Pendekar Bahan,Bangko Pusaka,SWASTA
7,60704488,MIS NURUL ULUM,BANGKO PERMATA,-,SWASTA
8,69994266,MTs 3 Rokan Hilir,Jl. Masjid Sungai Rangau,,NEGERI
9,10499246,MTSS AL FURQON BANGKO JAYA,JL. MASJID DUSUN WONOREJO,-,SWASTA
10,10499250,MTSS AS SYAKIRIN,JALAN PHOTO KM.21,-,SWASTA
11,10499248,MTSS IHWATUN HASANAH,JL. PENDIDIKAN,-,SWASTA
12,10499245,MTSS IKHLASIYAH,JLN.LINTAS RIAU SUMUT KM 15,-,SWASTA
13,10499247,MTSS MA`ARIF,JL. LINTAS RIAU-SUMUT,-,SWASTA
14,10499249,MTSS NURUL FIKRI,BANGKO KIRI,-,SWASTA
15,10493830,SD ADVENT BANGKO KIRI,Bangko Kiri,Bangko Kiri,SWASTA
16,10493838,SD KARYA BAKTI,Jl. Masjid Cem,Bangko Jaya,SWASTA
17,10493810,SD NEGERI 001 BANGKO KANAN,Jalan Guru Zainal Cantik,Bangko Kanan,NEGERI
18,10493811,SD NEGERI 002 TELUK BANO I,Teluk Bano 1 Rt 06 Rw 02,Teluk Bano I,NEGERI
19,10493812,SD NEGERI 003 SUNGAI MANASIB,Jl Poros Sungai Manasib,Sungai Manasib,NEGERI
20,10493813,SD NEGERI 004 BANGKO PERMATA,Bangko Permata KM. 3,Bangko Permata,NEGERI
21,10493814,SD NEGERI 005 BANGKO KIRI,Jl.utama,BANGKO KIRI,NEGERI
22,10493815,SD NEGERI 006 BANGKO BAKTI,Bangko Bakti,Bangko Bakti,NEGERI
23,10493816,SD NEGERI 007 PEMATANG IBUL,Pematang Ibul,Pematang Ibul,NEGERI
24,10493817,SD NEGERI 008 PEMATANG SEMUT,Pematang Semut,Bangko Pusaka,NEGERI
25,10493818,SD NEGERI 009 BANGKO PERMATA,Bangko Jaya,Bangko Permata,NEGERI
26,10495337,SD NEGERI 010 BANGKO SEMPURNA,Jln Lintas Riau Sumatra Utara Dusun Sido Rejo,BANGKO SEMPURNA,NEGERI
27,10493820,SD NEGERI 011 BANGKO BAKTI,Jalan Lintas Riau-Sumut Balam Km 17 Bangko Bakti,Bangko Bakti,NEGERI
28,10493821,SD NEGERI 012 BANGKO SEMPURNA,Jln.nasional Bangko Sempurna,BANGKO SEMPURNA,NEGERI
29,10493822,SD NEGERI 013 PEMATANG BINJAI,Jln. Lintas Riau-Sumut Pematang Binjai,Pematang Ibul,NEGERI
30,10493823,SD NEGERI 014 BANGKO MAKMUR,Bangko Makmur,Bangko Makmur,NEGERI
31,10493824,SD NEGERI 015 KARYA SEMPURNA,Jln Pinianom No 2 Bangko Sempurna,Bangko Sempurna,NEGERI
32,10493825,SD NEGERI 016 BANGKO PUSAKO,Jl. Bakti Utama Dusun suka Makmur - Bangko Pusaka,Bangko Pusaka,NEGERI
33,10493826,SD NEGERI 017 BANGKO SEMPURNA,Bangko Sempurna Km 22,Bangko Sempurna,NEGERI
34,10493849,SD NEGERI 018 SEI MANASIB,UPT ROKAN N.12 SUNGAI MANASIB,SUNGAI MANASIB,NEGERI
35,10493833,SD NEGERI 020 BANGKO BAKTI,Jl.lintas Riau-sumut,Bangko Bakti,NEGERI
36,10493841,SD NEGERI 022 PEMATANG DAMAR,Pematang Damar,Pematang Damar,NEGERI
37,10495373,SD NEGERI 023 BANGKO SEMPURNA,Jln. Cinta Damai,Bangko Balam,NEGERI
38,10405347,SD NEGERI 024 BANGKO MUKTI,Bangko Pusako,BANGKO MUKTI,NEGERI
39,10493839,SD NEGERI 025 KELOMPOK TANI,Kelompok Tani,Teluk Bano I,NEGERI
40,69725761,SD NEGERI 026 BANGKO PERMATA,Bangko Permata,Bangko Permata,NEGERI
41,69725920,SD NEGERI 027 BANGKO KANAN,Jl Penghulu Ma amun Bangko Kanan,Bangko Kanan,NEGERI
42,69981046,SD NEGERI 028 BANGKO JAYA,JL. PERTANIAN,Bangko Jaya,NEGERI
43,10495509,SDN 019 PEMATANG SEI LABU,Jln Karya Bersama,Teluk Bano I,NEGERI
44,10493844,SDN 021 PENDEKAR BAHAN,Pendekar Bahan,Pematang Ibul,NEGERI
45,10493847,SDS 029 ROKAN REJO,Teluk Bano I,Teluk Bano I,SWASTA
46,10493829,SDS ABDI NEGARA,Jl Pelajar Km 08 Balam,Bangko Jaya,SWASTA
47,10493834,SDS BUDI MULIA,Perk. Manggala-1,Pematang Damar,SWASTA
48,10493842,SDS PEMATANG LEBAN,Pematang Leban,BANGKO PUSAKA,SWASTA
49,10493836,SDS. HARAPAN BANGKO,PERKEBUNAN SUNGAI BANGKO,BANGKO SEMPURNA,SWASTA
50,69922924,SMA PERSIAPAN NEGERI BANGKO PUSAKO,JL. PENDEKAR BAHAN,Pematang Ibul,SWASTA
51,10493895,SMAN 1 BANGKO PUSAKO,"Jl. Lintas Riau - Sumut, Komplek Pendidikan Pematang Ibul",Pematang Ibul,NEGERI
52,10493897,SMAN 2 BANGKO PUSAKO,BANGKO KANAN,BANGKO KANAN,NEGERI
53,10493899,SMAN 3 BANGKO PUSAKO,BANGKO PERMATA,Bangko Permata,NEGERI
54,10497417,SMAN 4 BANGKO PUSAKO,JL. H. ZULKAINI  BANGKO SEMPURNA KM.20,Bangko Sempurna,NEGERI
55,69897142,SMAN 5 BANGKO PUSAKO,JL. KARYA BERSAMA,Teluk Bano I,NEGERI
56,10493903,SMAS HARAPAN BANGKO PUSAKO,Jalan Rantau Dusun Wono Rejo RT. 03,Bangko Jaya,SWASTA
57,10493906,SMKS CENDANA ROKAN HILIR,LINTAS RIAU SUMUT KM. 19 BANGKO SEMPURNA,Bangko Lestari,SWASTA
58,10495809,SMKS NUSANTARA,JALAN PHOTO KM. 21 BANGKO SEMPURNA,Bangko Sempurna,SWASTA
59,10493907,SMKS TERPADU ABDI NEGARA,PELAJAR KM. 08,BANGKO JAYA,SWASTA
60,10493867,SMP NEGERI 1 BANGKO PUSAKO,Jl. H. Annas Maamun RT 12 RW 03 Dusun Rantau Panjang,Bangko Kiri,NEGERI
61,10493877,SMP Negeri 10 BANGKO PUSAKO,"Jl. Lintas Riau Sumut, Bangko",Bangko Permata,NEGERI
62,10495045,SMP NEGERI 2 BANGKO PUSAKO,Jln. Pelajar  Balam  KM. 8 Dusun Sukajadi,Bangko Permata,NEGERI
63,10493871,SMP NEGERI 3 BANGKO PUSAKO,Jalan Lintas Riau-Sumut Pematang Ibul,Pematang Ibul,NEGERI
64,10495376,SMP NEGERI 4 BANGKO PUSAKO,Jl. PEMATANG MOAWAN,Bangko Pusaka,NEGERI
65,10495377,SMP NEGERI 5 BANGKO PUSAKO,Jl. Karya Bersama,Teluk Bano I,NEGERI
66,10497418,SMP NEGERI 6 BANGKO PUSAKO SATU ATAP,Jln. H. Zulkaini KM.20,Bangko Sempurna,NEGERI
67,69725819,SMP NEGERI 7 BANGKO PUSAKO SATU ATAP,Bangko Pusako,Sungai Manasib,NEGERI
68,10498708,SMP NEGERI 8 BANGKO PUSAKO SATU ATAP,Bangko Pusako,Pematang Ibul,NEGERI
69,10493878,SMP S BUDI MULIA MANGGALA,PERKEBUNAN MANGGALA 1,Pematang Damar,SWASTA
70,10493879,SMPN 9 BANGKO PUSAKO,Jln. Cinta Damai - Stapal,Bangko Balam,NEGERI
71,10493873,SMPS ABDI NEGARA,Bangko Jaya Km 08,Bangko Jaya,SWASTA
