
1,10498821,MAS BABUSSALAM,JALAN ABDUL MAJID NO.. DESA KOTO SIMANDOLAK KENEGERIAN SIMANDOLAK KECAMATAN BEN,-,SWASTA
2,10499151,MTSS BABUSSALAM,TEBING TINGGI SIMANDOLAK,-,SWASTA
3,10403802,SD NEGERI 001 SIMANDOLAK,Koto Simandolak,SIMANDOLAK,NEGERI
4,10403754,SD NEGERI 002 BENAI,Pasar Benai,Benai,NEGERI
5,10403748,SD NEGERI 003 BENAI KECIL,Benai Kecil,Benai Kecil,NEGERI
6,10403770,SD NEGERI 004 TEBING TINGGI,Tebing Tinggi,Tebing Tinggi,NEGERI
7,10403764,SD NEGERI 005 SIBERAKUN,Jln. Inpres No. 002 Dusun Barat Siberakun,Siberakun,NEGERI
8,10403861,SD NEGERI 006 BANJAR BENAI,Banjar Benai,BANJAR BENAI,NEGERI
9,10403874,SD NEGERI 007 SIMANDOLAK,Simandolak,SIMANDOLAK,NEGERI
10,10403633,SD NEGERI 008 PULAU LANCANG,Pulau Lancang,Pulau Lancang,NEGERI
11,10403647,SD NEGERI 009 PULAU INGU,PULAU INGU,PULAU INGU,NEGERI
12,10403649,SD NEGERI 010 TALONTAM,Talontam,TALONTAM,NEGERI
13,10403665,SD NEGERI 011 SIBERAKUN,Siberakun,Siberakun,NEGERI
14,10403661,SD NEGERI 012 TANJUNG,Tanjung,TANJUNG,NEGERI
15,10403660,SD NEGERI 013 PULAU KALIMANTING,Pulau Kalimanting,Pulau Kalimanting,NEGERI
16,10403659,SD NEGERI 014 UJUNG TANJUNG,DESA UJUNG TANJUNG,UJUNG TANJUNG,NEGERI
17,10403657,SD NEGERI 015 GUNUNG KESIANGAN,Jl. Kandang Peternakan G. Kesiangan,GUNUNG KESIANGAN,NEGERI
18,10403656,SD NEGERI 016 BANJAR LOPAK,Banjar Lopak,BANJAR LOPAK,NEGERI
19,10403803,SD SWASTA SUNGAI KUANTAN,Perkebunan Sei. Kuantan,Banjar Benai,SWASTA
20,10403804,SD SWASTA SUNGAI KUKO,Sungai Kuko,BANJAR BENAI,SWASTA
21,10403689,SMAN 1 BENAI,Jl. Soekarno Hatta NO 01 Benai - 29552,Benai,NEGERI
22,10403681,SMKN 1 BENAI,Jl. Juhum Ismail No. 02 Pasar Benai,Benai,NEGERI
23,10403715,SMP NEGERI 1 BENAI,Jl. Soekarno-Hatta No. 35 Pasar Benai,Benai,NEGERI
24,10403731,SMP NEGERI 2 BENAI,Simandolak,Simandolak,NEGERI
25,10403705,SMP NEGERI 3 BENAI,Banjar Lopak,Banjar Lopak,NEGERI
26,10403687,SMP NEGERI 4 BENAI,Talontam,Talontam,NEGERI
27,69824958,SMP SWASTA SEI KUKO,Sei Kuko,Banjar Benai,SWASTA
