
1,69982881,MIS DARUNNAJAH TITIAN GADING,JL. LINTAS DURI - KUMU,Teluk Sono,SWASTA
2,69912146,SD KASANG LAPIT SUKA MAKMUR,KASANG PADANG,Kasang Padang,SWASTA
3,10403170,SD NEGERI 001 BONAI DARUSSALAM,Jln. Syekh Muhammad Kayo,Sontang,NEGERI
4,10403048,SD NEGERI 002 BONAI DARUSSALAM,Bonai Darussalam,Teluk Sono,NEGERI
5,10495726,SD NEGERI 003 BONAI DARUSSALAM,Jl.Lintas Simpang Kumu - Duri KM 58,Kasang Mungkal,NEGERI
6,10403129,SD NEGERI 004 BONAI DARUSALAM,Jurong - Bonai,Bonai,NEGERI
7,10403113,SD NEGERI 005 BONAI DARUSSALAM,Kasang Padang,Kasang Padang,NEGERI
8,10403133,SD NEGERI 006 BONAI DARUSSALAM,Jln.Pasilitas Rt.21 Rw.11 Titian Gading,Sontang,NEGERI
9,10403150,SD NEGERI 007 BONAI DARUSSALAM,Bonai,BONAI,NEGERI
10,10402833,SD NEGERI 008 BONAI DARUSSALAM,Rawa Makmur,Rawa Makmur,NEGERI
11,10402838,SD NEGERI 009 BONAI DARUSSALAM,Kasang Sekilang,Teluk Sono,NEGERI
12,10495787,SD NEGERI 010 BONAI DARUSSALAM,Simpang Air Hitam,Teluk Sono,NEGERI
13,10496889,SD NEGERI 011 BONAI DARUSSALAM,Jl. Batin bromban sri pauh,Pauh,NEGERI
14,10495631,SD SWASTA LIBO CERIA,DESA PAUH KM.26,PAUH,SWASTA
15,69922218,SD SWASTA PT.PISP DUA,KASANG MUNGKAL,Kasang Mungkal,SWASTA
16,10495830,SD SWASTA RINTIS,SIMPANG RINTIS,Sontang,SWASTA
17,69900826,SD SWASTA YLPMD BONAI,JL. LINTAS DURI BONAI,Bonai,SWASTA
18,10495629,SDS TANJUNG PAUH,Dusun III tanjung pauh,Bonai,SWASTA
19,69816349,SEKOLAH DASAR SWASTA ANAK BANGSA PAUH,PAUH KM 38,Pauh,SWASTA
20,69787104,SEKOLAH DASAR SWASTA PUTRI SION YUSMARSAH,TELUK SONO,Teluk Sono,SWASTA
21,10496394,SMA NEGERI 1 BONAI DARUSSALAM,JL. Lintas RIAU - MEDAN,Sontang,NEGERI
22,69733932,SMKN 1 BONAI DARUSSALAM,BONAI DARUSSALAM,Kasang Mungkal,NEGERI
23,10495790,SMP NEGERI 1 BONAI DARUSSALAM,JL.LINTAS RIAU-MEDAN,Sontang,NEGERI
24,10496587,SMP NEGERI 2 BONAI DARUSSALAM,JL.JINGGA PERMAI PERUMAHAN SOSIAL,Teluk Sono,NEGERI
25,10495791,SMP NEGERI 3 BONAI DARUSSALAM,Jl. Lintas Simp. Kumu-Duri,Kasang Mungkal,NEGERI
26,10497015,SMP NEGERI 4 BONAI DARUSSALAM,JL.LIBO BARU KM 25 DESA PAUH,Pauh,NEGERI
27,10496568,SMP NEGERI 5 BONAI DARUSSALAM,Jl. Pelajar No.3,Bonai,NEGERI
28,69899597,SMP SWASTA LIBO CERIA,DESA PAUH,Pauh,SWASTA
29,69988384,SMP SWASTA PUTRI SION YUSMARSAH,Dusun Air Hitam,Teluk Sono,SWASTA
