
1,69983420,MAS AL-HAMIDIYAH,JL. PANGLIMA KUDIN NO. 01 KELURAHAN PANGKALAN BUNUT KEC. BUNUT,Pangkalan Bunut,SWASTA
2,10499175,MTSS AL-HAMIDIYAH,JL. HANGTUAH NO.18,Pangkalan Bunut,SWASTA
3,69900543,SD Harapan 1 Kebun Nilo,PT. ADEI Desa Sungai Buluh,Sungai Buluh,SWASTA
4,10404708,SD NEGERI 001 PANGKALAN BUNUT,PANGKALAN BUNUT,Pangkalan Bunut,NEGERI
5,10404715,SD NEGERI 002 BALAM MERAH,Jln. Lintas Bono RT.005/RW.002 Desa Balam Merah,Balam Merah,NEGERI
6,10404725,SD NEGERI 003 LUBUK MAS,Lubuk Mas,LUBUK MAS,NEGERI
7,10404736,SD NEGERI 004 MERBAU,Merbau,MERBAU,NEGERI
8,10404742,SD NEGERI 005 BAGAN LAGUH,BAGAN LAGUH,BAGAN LAGUH,NEGERI
9,10494024,SD NEGERI 006 PETANI,Petani,PETANI,NEGERI
10,10494025,SD NEGERI 007 LUBUK MANDIAN GAJAH,Lubuk Mandian Gajah,LUBUK MANDIAN GAJAH,NEGERI
11,10494026,SD NEGERI 008 TAMBUN,Tambun,LUBUK MAS,NEGERI
12,10494466,SD NEGERI 009 SUNGAI BULUH,Jln. Tanjung Maligan,Sungai Buluh,NEGERI
13,10494028,SD NEGERI 010 LOGAS,Dusun Logas,MERBAU,NEGERI
14,10494029,SD NEGERI 011 KERIUNG,Jl. Pendidikan No.03,Keriung,NEGERI
15,10494030,SD NEGERI 012 SIMPANG LEBUH,Simpang Lebuh,Bagan Laguh,NEGERI
16,10495391,SD NEGERI 013 TONOK,Tonok,BALAM MERAH,NEGERI
17,10495392,SD NEGERI 014 SIALANG KAYU BATU,Sialang Kayu Batu,Sialang Kayu Batu,NEGERI
18,10404670,SMAN 1 BUNUT,JL. PELAJAR NO. 12 PKL. BUNUT,Pangkalan Bunut,NEGERI
19,69988483,SMAN 2 BUNUT,Jl. Sialang Kayu Batu,Balam Merah,NEGERI
20,10404665,SMKN 1 BUNUT,LINTAS BONO NO.1,Petani,NEGERI
21,10402737,SMP NEGERI 1 BUNUT,Jl. Pelajar,Pangkalan Bunut,NEGERI
22,10496542,SMP NEGERI 2 BUNUT,Jl. Lintas Bono Dusun Sagai,Bagan Laguh,NEGERI
23,69969607,SMPN 3 BUNUT,Jl.Datuk Batin Pasak,Merbau,NEGERI
