
1,10310960,MAS MIFTAHUL HUDA,PARIT SURAU DARUL HUDA,-,SWASTA
2,10310958,MAS NURUL HUDA,JL. M. BOYA NO. 51 ENOK,-,SWASTA
3,10310961,MAS NURUL IMAN,JL. LINTAS ENOK KM 13,-,SWASTA
4,10310959,MAS YPI NURUL YAQIN,JL. MANGKUBUMI,Pengalihan,SWASTA
5,60704248,MIS AR-RASYID,PRT. KALIMANTAN BAGAN JAYA,-,SWASTA
6,60704249,MIS DARUSSALAM,PARIT SIBUN,-,SWASTA
7,60704253,MIS NURUL IKHSAN,PRT. PELITA KM. 9,-,SWASTA
8,60704247,MIS NURUL ISLAM,SEI INTAN KIRI,-,SWASTA
9,60704246,MIS NURUL WATHAN,PUSARAN 08,-,SWASTA
10,60704245,MIS PP. NURUL IMAN,JL. LINTAS ENOK KM 13,DESA SUNGAI LOKAN,SWASTA
11,60704252,MIS SABILIL MUTTAQIN,SIDOMOLYO SEI. RUKAM,-,SWASTA
12,60704251,MIS SUBULUL HUDA,PARIT BANTALAN,-,SWASTA
13,60704250,MIS YPP MIFTAHUL HUDA,PARIT SURAU - JAYA BHAKTI,JAYA BHAKTI,SWASTA
14,10498963,MTSN 3 INDRAGIRI HILIR,JL.  TERATAI NO. 2 ENOK,Enok,NEGERI
15,10498969,MTSS AL HUDA,JL.  KESEHATAN NO. 1 SUHADA,Suhada,SWASTA
16,10498968,MTSS AL KHAIRIYAH,JL. HIDAYAH,-,SWASTA
17,10498970,MTSS DARUSSALAM,PARIT SIBUN,-,SWASTA
18,10498966,MTSS MIFTAHUL HUDA,PARIT SURAU PENGALIHAN,Jaya Bhakti,SWASTA
19,10498971,MTSS NURUL IKHSAN,PRT.PELITA KM 9 BAGAN JAYA,-,SWASTA
20,10498965,MTSS NURUL IMAN,KP. BARU - PUSARAN,-,SWASTA
21,10498967,MTSS NURUL IMAN,JL.  LINTAS ENOK DS. S. LOKAN,-,SWASTA
22,10498964,MTSS NURUL WATHAN,JL.  PUSARAN NO.8,Pusaran,SWASTA
23,10498972,MTSS NURUL YAKIN,JL.  MANGKUBUMI,Pengalihan,SWASTA
24,69853238,Nurul Hidayah,M.Boya Sungai Ambat,-,SWASTA
25,69849488,Sa adatuddaraein,Parit_setia_kawan_desa_suhada,-,SWASTA
26,69853246,Sa_adatuddaraein,Jl_Lintas_Timur_Desa_Suhada,-,SWASTA
27,10402512,SD NEGERI 001 ENOK,JL. BHAYANGKARA 19 RT.004 RW.005,ENOK,NEGERI
28,10496388,SD NEGERI 002 TELUK MEDAN,JL. PENDIDIKAN,Teluk Medan,NEGERI
29,10496053,SD NEGERI 003 ENOK,JL. LETDA M. BOYA,Enok,NEGERI
30,10401936,SD NEGERI 004 ENOK,JL. MELATI LR. KASTURI ENOK,ENOK,NEGERI
31,10401915,SD NEGERI 005 ENOK,JL. KESEHATAN,ENOK,NEGERI
32,10404637,SD NEGERI 006 ENOK,JL. CERMI 68 ENOK,Enok,NEGERI
33,10401911,SD NEGERI 007 PUSARAN,Kampung Baru Pusaran,Pusaran,NEGERI
34,10401904,SD NEGERI 008 PUSARAN,JL. PENDIDIKAN PUSARAN 8,PUSARAN,NEGERI
35,10401976,SD NEGERI 009 PUSARAN,JL. BLAMBANG PUSARAN 9,PUSARAN,NEGERI
36,10496488,SD NEGERI 010 ATAP SENG ENOK,PARIT ATAP SENG,PANTAI SEBERANG MAKMUR,NEGERI
37,10401894,SD NEGERI 011 SUNGAI AMBAT,JL. PENDIDIKAN,SUNGAI AMBAT,NEGERI
38,10401969,SD NEGERI 012 JAYA BHAKTI,JL. PENDIDIKAN,JAYA BHAKTI,NEGERI
39,10401950,SD NEGERI 013 PENGALIHAN ENOK,Jalan M.boya No.203,PENGALIHAN,NEGERI
40,10402201,SD NEGERI 014 PENGALIHAN,Jl. Letda M. Boya Pengalihan,PENGALIHAN,NEGERI
41,10401944,SD NEGERI 015 SUNGAI RUKAM,Sungai Rukam,SUNGAI RUKAM,NEGERI
42,10401814,SD NEGERI 016 SIMPANG TIGA,JL. H. ADNAN SIMPANG TIGA,Simpang Tiga,NEGERI
43,10404613,SD NEGERI 017 RANTAU PANJANG,JLN.Pendidikan,Rantau Panjang,NEGERI
44,10401825,SD NEGERI 018 BAGAN JAYA ENOK,Jln. Palapa 03 Bagan Jaya,BAGAN JAYA,NEGERI
45,10401967,SD NEGERI 019 SUHADA,Parit Bone Putra,SUHADA,NEGERI
46,10401781,SD NEGERI 020 SUHADA,PARIT BANGKA,SUHADA,NEGERI
47,10401804,SD NEGERI 021 SUNGAI RUKAM,Sungai Rukam,SUNGAI RUKAM,NEGERI
48,10401800,SD NEGERI 022 PUSARAN,"JL. TELUK MERGUNG, PUSARAN 10",Pusaran,NEGERI
49,10401867,SD NEGERI 023 SUHADA,Parit Setia Kawan,SUHADA,NEGERI
50,10495851,SD NEGERI 024 RANTAU PANJANG,Sungai Piai,RANTAU PANJANG,NEGERI
51,10401880,SD NEGERI 025 BAGAN JAYA,Pondok II Bumi Lestari,BAGAN JAYA,NEGERI
52,10401859,SD NEGERI 026 BAGAN JAYA ENOK,Bagan Negara,BAGAN JAYA,NEGERI
53,10401837,SD NEGERI 027 SIMPANG TIGA,JL. LINTAS ENOK KM.15 SIMPANG TIGA DARATAN,SIMPANG TIGA DARATAN,NEGERI
54,10404643,SD NEGERI 028 SIMPANG TIGA,TANJUNG PENYALAI,SIMPANG TIGA,NEGERI
55,10401855,SD NEGERI 029 BAGAN JAYA,JL. LINTAS SAMUDRA BLOK M.,Bagan Jaya,NEGERI
56,10401849,SD NEGERI 030 BAGAN JAYA,JL. RAYA BLOK F BAGAN JAYA,BAGANJAYA,NEGERI
57,10402148,SD NEGERI 031 SUHADA,DUSUN SYUHADA,Suhada,NEGERI
58,10402140,SD NEGERI 032 ENOK,Jln. Negara seberang Enok,Pantai Seberang Makmur,NEGERI
59,10402138,SD NEGERI 033 SUNGAI RUKAM,SUNGAI TANGLAU,Sungai Rukam,NEGERI
60,10401874,SD NEGERI 034 ENOK,PARIT SIDOMULYO,Sungai Rukam,NEGERI
61,10402078,SMAN 1 ENOK,JL. KESEHATAN,Enok,NEGERI
62,10402057,SMAN 2 ENOK,JL. PENDIDIKAN NO. 7,Bagan Jaya,NEGERI
63,10497452,SMAS MANDIRI,JL. M. BOYA,Sungai Rukam,SWASTA
64,10402011,SMP NEGERI 1 ENOK,Jl. Pendidikan,ENOK,NEGERI
65,10402014,SMP NEGERI 2 ENOK,Jl.Letda M. Boya,Pengalihan,NEGERI
66,10402094,SMP NEGERI 3 ENOK,Jl.Lintas Samudera,BAGAN JAYA,NEGERI
67,10494993,SMP NEGERI SATU ATAP JAYA BHAKTI,Jl. Pendidikan,Jaya Bhakti,NEGERI
68,10402049,SMP NEGERI SATU ATAP SUNGAI RUKAM,Jl. Letda M. Boya,Sungai Rukam,NEGERI
69,10497045,SMPN SATU ATAP 017 RANTAU PANJANG,Jl. Pendidikan,Rantau Panjang,NEGERI
