
1,10498751,MAN 1 INDRAGIRI HULU,JL. GERBANG SARI,Pematang Reba,NEGERI
2,69983414,MAS AL-JARIYAH,JL. RAYA DANAU BARU PEKAN HERAN,Kec. Rengat Barat,SWASTA
3,69941587,MAS Darul Islam,Jl. Merdeka Tanah Datar,Tanah Datar,SWASTA
4,69819450,MIS Al Firdausy,Jl. Pekan Heran Pematang Reba Simpang 4 Tugu Patin,Rengat Barat,SWASTA
5,60704231,MIS DARUL ULUM,DANAU BARU KEC. RENGAT BARAT,-,SWASTA
6,60704230,MIS LUHUR ISLAM,JL. POROS II TANAH DATAR,-,SWASTA
7,69982875,MIS RANTAU BAKUNG,JL. LINTAS PEKAN HERAN-RENGAT,Kec. Rengat Barat,SWASTA
8,10498948,MTSN 1 INDRAGIRI HULU,JLN. RAYA KM.2 PEKAN HERAN,-,NEGERI
9,10498949,MTSS THARIQUL HIDAYAH,JL. RAYA LAMA KM. 30,-,SWASTA
10,10498950,MTSS YMI RIAU,JL.  SEI. BAUNG BUKIT PETALING,-,SWASTA
11,10493912,SD NEGERI 001 PEKAN HERAN,Jl. Raya Pasar Mingu,Pekan Heran,NEGERI
12,10401604,SD NEGERI 002 KOTA LAMA,Jl. Makam Narasinga,KOTA LAMA,NEGERI
13,10401587,SD NEGERI 003 DANAU BARU,Danau Baru,DANAU BARU,NEGERI
14,10493914,SD NEGERI 004 RANTAU BAKUNG,Rantau Bakung,RANTAU BAKUNG,NEGERI
15,10493915,SD NEGERI 005 PEKAN HERAN,Jl. Raya Pekan Heran Km. 2,Pekan Heran,NEGERI
16,10493916,SD NEGERI 006 REDANG,Redang,REDANG,NEGERI
17,10493917,SD NEGERI 007 KOTA LAMA,Jl. Lintas Timur,KOTA LAMA,NEGERI
18,10493920,SD NEGERI 008 SIALANG DUA DAHAN,Sialang Dua Dahan,SIALANG DUA DAHAN,NEGERI
19,10493921,SD NEGERI 009 ALANG KEPAYANG,Kepayang Indah,ALANG KEPAYANG,NEGERI
20,10401735,SD NEGERI 010 BARANGAN,Barangan,BARANGAN,NEGERI
21,10401773,SD NEGERI 011 SEI BAUNG,Sei Baung,Sungai Baung,NEGERI
22,10493922,SD NEGERI 012 KAMPUNG DOGE,Desa Pematang Jaya,PEMATANG JAYA,NEGERI
23,10493925,SD NEGERI 013 PEMATANG REBA,Jln. Lintas Timur no. 89,PEMATANG REBA,NEGERI
24,10493926,SD NEGERI 014 TANAH DATAR,"Jln, Merdeka, Jlr, A. Tanah Datar",Tanah Datar,NEGERI
