
1,40320066,MTSS MIFATHUL KHAER MARE,JLN. WATAMPONE,Tellu Boccoe,SWASTA
2,40310441,SD INPRES 10/73 PADAELO,Jl.Andi Muh. Yusuf,Padaelo,NEGERI
3,40310448,SD INPRES 12/79 BATUGADING,BATUGADING,Batu Gading,NEGERI
4,40310459,SD INPRES 12/79 KARELLA,Karella,Karella,NEGERI
5,40310460,SD INPRES 12/79 LAKUKANG,Jln Poros Watampone,Lakukang,NEGERI
6,40310461,SD INPRES 12/79 LAPPA UPANG,Lappa Upang,Lappa Upang,NEGERI
7,40310465,SD INPRES 12/79 MATTAMPAWALIE,Bentenge,Mattampa Walie,NEGERI
8,40310488,SD INPRES 3/77 DATA,Data,Data,NEGERI
9,40310496,SD INPRES 3/77 PATTIRO,Kampung Baru,Pattiro,NEGERI
10,40310500,SD INPRES 3/77 TELLONGENG,Tellonggeng,Tellongeng,NEGERI
11,40310513,SD INPRES 5/81 KADAI,Jalan Watampone,Kadai,NEGERI
12,40310522,SD INPRES 5/81 MATTIRO WALIE,Lappa Lampoko,Mattiro Walie,NEGERI
13,40310529,SD INPRES 5/81 SUMALING,ABBEKKAE,Sumaling,NEGERI
14,40310545,SD INPRES 6/75 TELLU BOCCOE,Jl. Arung Pao,Tellu Boccoe,NEGERI
15,40310546,SD INPRES 6/75 UJUNG TANAH,Lagusi,Ujung Tanah,NEGERI
16,40310552,SD INPRES 6/80 UJUNG TANAH,Belawae,Ujung Tanah,NEGERI
17,40810553,SD INPRES 6/86 BATUGADING,BATUGADING,Batu Gading,NEGERI
18,40310605,SD NEGERI 233 MATTAMPAWALIE,Masumpu,Mattampawalie,NEGERI
19,40310606,SD NEGERI 234 PATTIRO,Pattiro,MARE,NEGERI
20,40310607,SD NEGERI 235 CEGE,Bulu,CEGE,NEGERI
21,40310608,SD NEGERI 236 KARELLA,Ulutaue,Mario,NEGERI
22,40310609,SD NEGERI 237 TELLONGENG,Cenrana,TELLONGENG,NEGERI
23,40310610,SD NEGERI 238 UJUNG TANAH,Useng,UJUNG TANAH,NEGERI
24,40310611,SD NEGERI 239 TELLONGENG,Tellongeng,TELLONGENG,NEGERI
25,40310612,SD NEGERI 240 TELLU BOCCOE,Jl.arung Pao,TELLU BOCCOE,NEGERI
26,40310613,SD NEGERI 241 KADAI,Jl.watampone,KADAI,NEGERI
27,40310614,SD NEGERI 242 PADAELO,JLN. A. MUH. YUSUF,PADAELO,NEGERI
28,40394940,SD NEGERI 243 UJUNG SALANGKETO,Appalaringe,UJUNG SALANGKETO,NEGERI
29,40310616,SD NEGERI 244 LAPASA,Lapasa,Lapasa,NEGERI
30,40310628,SD NEGERI 298 TELLONGENG,Sanrego,TELLONGENG,NEGERI
31,40302668,SMAN 2 BONE,JL. MAKMUR No.1,Padaelo,NEGERI
32,40319189,SMKN 5 BONE,Jl.Watampone,Kadai,NEGERI
33,40302540,SMP NEGERI 1 MARE,Jl.Arung Pao,Tellu Boccoe,NEGERI
34,40302602,SMP NEGERI 2 MARE,Sumaling,SUMALING,NEGERI
35,40302576,SMP NEGERI 3 MARE,Batu Gading,Batu Gading,NEGERI
36,40310686,SMP NEGERI 4 MARE,Lakukang,LAKUKANG,NEGERI
37,40318122,SMPN SATAP 5 MARE,MARE,Lappa Upang,NEGERI
