
1,40306431,SD NEGERI 178 BELAU,Belau Utara,Lembang Belau Utara,NEGERI
2,40306338,SD NEGERI 179 RATTE,Ratte,Lembang Kadundung,NEGERI
3,40306797,SD NEGERI 309 INPRES KADUNDUNG,Kadundung,Lembang Ratte,NEGERI
4,40306716,SD NEGERI 334 INPRES PONDINGAO,Pondingao,Lembang Pondingao,NEGERI
5,40306696,SD NEGERI 346 PAKU,Paku,Lembang Paku,NEGERI
6,40306509,SD NEGERI 347 LIMBONG,Limbong,Lembang Sese Salu,NEGERI
7,40306349,SD NEGERI 364 PALI PALI,Pali,Lembang Paliorong,NEGERI
8,69733985,SDN 203 Pauan,dusun pauan Lembang Sese Salu,Lembang Sese Salu,NEGERI
9,40309861,SMAN 1 MASANDA,JL.POROS BITTUANG MAMASA,Lembang Belau,NEGERI
10,40309801,SMP NEGERI 2 BITTUANG,Belau,Lembang Belau,NEGERI
11,40309747,SMP NEGERI 5 BITTUANG,Ratte,Lembang Kadundung,NEGERI
