
1,40406044,MTs.S BABUL ILMI,Jl. Pendidikan,Wamboule,SWASTA
2,40403820,SD NEGERI 1 BIRA,Jl. Bira,BIRA,NEGERI
3,40403822,SD NEGERI 1 EE RINERE,Jln.Boba,EE RINERE,NEGERI
4,40403827,SD NEGERI 1 LAMOAHI,DUSUN I,Lamoahi,NEGERI
5,40403856,SD NEGERI 1 LANOSANGIA,Lakansai,LANOSANGIA,NEGERI
6,40403824,SD NEGERI 1 LELAMO,Desa Lelamo,LELAMO,NEGERI
7,40404855,SD NEGERI 1 PETETEAA,Jl. Desa,Peteteaa,NEGERI
8,40404925,SD NEGERI 1 TOROMBIA,Torombia,Torombia,NEGERI
9,40403841,SD NEGERI 1 WAMBOULE,Jalan Poros Pelabuhan,WAMBOULE,NEGERI
10,40403810,SD NEGERI 1 WAODE BURI,Jln. WENGKONUKU,WAODE BURI,NEGERI
11,40403823,SDN 1 PEBAOA,Jln. Wamengkoli,Pebaoa,NEGERI
12,69943865,SMA NEGERI 3 KULISUSU UTARA,Jln. Baru,Bira,NEGERI
13,40403871,SMAN 1 KULISUSU UTARA,JL. PENDIDIKAN NO 1,Wamboule,NEGERI
14,69762606,SMAN 2 KULISUSU UTARA,JL. PENDIDIKAN NO 1,Wowonga Jaya,NEGERI
15,40404758,SMKN 1 KULISUSU UTARA,PENDIDIKAN NO.5 MATAOLEO,Wamboule,NEGERI
16,40403863,SMP NEGERI 1 KULISUSU UTARA,JL. KERATON NO. 5,Waode Buri,NEGERI
17,40403868,SMP NEGERI 2 KULISUSU UTARA,jl. pendidikan No. 1 Wowonga Jaya,Wowonga Jaya,NEGERI
18,40404877,SMP Satap SMPN 1 KULISUSU UTARA,Jalan Poros Desa Bira,Bira,NEGERI
19,40404972,SMP SATAP SMPN 2 KULISUSU UTARA,Torombia,Torombia,NEGERI
20,40404973,SMP SATAP SMPN 3 KULISUSU UTARA,Lamoahi,Lamoahi,NEGERI
21,40404974,SMP SATAP SMPN 4 KULISUSU UTARA,Pebaoa,Pebaoa,NEGERI
