
1,40405915,MAN 2 WAKATOBI,Jl. Poros Sowa No. 1,Sowa,NEGERI
2,40405916,MAS WALOINDI,DESA WALOINDI KECAMATAN TOGO BINONGKO,-,SWASTA
3,60724088,MIS WANDOKA,JL LETJEN S PARMAN NO.355,Wandoka Utara,SWASTA
4,40406004,MTSS WALOINDI,KEC. TOGO BINONGKO,-,SWASTA
5,40402368,SD NEGERI 1 POPALIA,Jln. Aulia no. 102,Popalia,NEGERI
6,40402404,SD NEGERI 2 POPALIA,Jalan Poros Sowa,Sowa,NEGERI
7,40402411,SD NEGERI 3 POPALIA,"Lingkungan Haso,Kelurahan Sowa",Sowa,NEGERI
8,40402387,SD NEGERI 4 POPALIA,(tidak diisi),POPALIA,NEGERI
9,40402302,SD NEGERI MOLE,Mole,WALOINDI,NEGERI
10,40402304,SD NEGERI OIHU,Oihu,Oihu,NEGERI
11,69853505,SD SMP SATAP NEGERI HAKA,JL. POROS HAKA,HAKA,NEGERI
12,40403169,SDN HAKA,Desa Haka,Desa Haka,NEGERI
13,40403256,SMAN 2 BINONGKO,JL. AULIA NO. 69,Popalia,NEGERI
14,40402313,SMP NEGERI 2 BINONGKO,Jl. Aulia No. 63,POPALIA,NEGERI
15,40404289,SMPN SATAP OIHU,DESA OIHU,Oihu,NEGERI
