
1,40400330,SD NEGERI 1 LANGARA,JALAN POROS PELABUHAN LANGARA,LAMOLUO,NEGERI
2,40400526,SD NEGERI 2 LANGARA,Jl. Poros Langara-Lansilowo,Langkowala,NEGERI
3,40403098,SD NEGERI 3 LANGARA,Jl. Pelabuhan Kel.Langara Laut,LANGARA LAUT,NEGERI
4,40400177,SD NEGERI 4 LANGARA,Langara Iwawo,LANGARA IWAWO,NEGERI
5,40400168,SD NEGERI 5 LANGARA,Kelurahan Langara Laut,LANGARA LAUT,NEGERI
6,40400169,SD NEGERI 6 LANGARA,Desa Lamoluo,Lamoluo,NEGERI
7,40400170,SD NEGERI 7 LANGARA,Jl. Poros Langara-Lansilowo,Langara Indah,NEGERI
8,40400159,SD NEGERI MATABAHO,Matabaho,Mata Baho,NEGERI
9,40400305,SD NEGERI WAWOLAA,Jl. Poros Langara-Lansilowo,Wawolaa,NEGERI
10,69986216,SDN PASIR PUTIH,DESA PASIR PUTIH,Mata Langara,NEGERI
11,P9962961,SKB WAWONII,Jl. Poros Langara - Lampeapi KM 2 Langara,Bukit Permai,NEGERI
12,40400243,SMAN 1 WAWONII,DESA LANGARA,LANGARA,NEGERI
13,40403669,SMKN 1 WAWONII,JL. POROS LANGARA-LAMPEAPI,Lamoluo,NEGERI
14,69763255,SMKS KESEHATAN WAWONII,JLN. POROS LANGARA – LANSILOWO,Langara Indah,SWASTA
15,40400230,SMP NEGERI 1 WAWONII BARAT,Jl.Poros Langara,Langara Laut,NEGERI
16,40404239,SMP NEGERI 2 WAWONII BARAT,Jalan Poros Langara-Lampeapi Nomor 40,Lamoluo,NEGERI
17,40404084,SMP NEGERI 3 WAWONII BARAT,Jl. Poros Langara-Lansilowo,Wawolaa,NEGERI
18,69931771,SMP NEGERI SATU ATAP 1 WAWONII BARAT,DESA MATABAHO,Mata Baho,NEGERI
