
1,40105175,MAS MUHAMADIYAH INOBONTO,-,-,SWASTA
2,40100702,SD NEGERI 2 AMBANG 2,Desa Ambang  2,Ambang Ii,NEGERI
3,40100674,SD NEGERI 2 BOLAANG,Desa Bolaang I,Bolaang I,NEGERI
4,40100718,SD NEGERI 2 LOLAN,Desa Lolan,Lolan,NEGERI
5,40100659,SD NEGERI 2 TADOY,Jln Perkebunan Desa Tadoy 1,Tadoy,NEGERI
6,40100243,SD NEGERI BANTIK,Desa Bantik,Bantik,NEGERI
7,40100553,SD NEGERI I AMBANG,Ambang  I,Ambang  I,NEGERI
8,40100443,SD NEGERI I LOLAN,Desa Lolan,Lolan,NEGERI
9,69876120,SDN 1 Bolaang,jJln. AKD Desa Bolaang,Bolaang,NEGERI
10,40100506,SDN 1 Tadoy,Desa Tadoy,Tadoy,NEGERI
11,69853531,SMK BUDI MULYA JAYA,JL. RAYA AKD,Tadoy I,SWASTA
12,40100288,SMP NEGERI 3 BOLAANG,Jl.raya Akd Tadoy,Tadoy,NEGERI
