
1,60725174,MTSN 2 BOLAANG MONGONDOW TIMUR,DESA KOTABUNAN BARAT,Kotabunan,NEGERI
2,69941538,MTsS Miftahul Khoir,Jl. Bendungan,-,SWASTA
3,40103417,SD NEGERI 1 BUYAT 2,"Jl. Lorong Kampung Tua, Desa Buyat Barat",Buyat Barat,NEGERI
4,40100736,SD NEGERI 1 PARET,Paret,Paret,NEGERI
5,40100664,SD NEGERI 2 BUYAT 2,Desa Buyat Dua,Buyat Ii,NEGERI
6,40100218,SD NEGERI 2 KOTABUNAN,Jalan PPK Kotabunan,Kotabunan,NEGERI
7,40100247,SD NEGERI BOKAKA,Dusun 01 RT 01,Bukaka,NEGERI
8,40103419,SD NEGERI I BULAWAN,Jl. siswa No. 2,Bulawan,NEGERI
9,40100453,SD NEGERI I BUYAT,Dusun 2 Buyat,BUYAT,NEGERI
10,40100434,SD NEGERI I KOTABUNAN,Kotabunan,Kotabunan,NEGERI
11,40100320,SMAN 1 KOTABUNAN,JL. SISWA BULAWAN,Bulawan,NEGERI
12,40105166,SMK N 1 KOTABUNAN,BUYAT,BUYAT,NEGERI
13,40100282,SMP NEGERI 1 KOTABUNAN,Jln. Karya Murni Desa Buyat,Buyat Selatan,NEGERI
14,69734084,SMP SATAP Bukaka,Desa Bukaka,Bukaka,NEGERI
15,40103428,SMPN DAERAH KOTABUNAN,Jl Siswa,Bulawan,NEGERI
