
1,40104702,SD GMIST EFRATA HAASI,Haasi,KAMPUNG HAASI,SWASTA
2,40104714,SD GMIST FILADELFIA MOHONGSAWANG,Mohongsawang,MOHONGSAWANG,SWASTA
3,40104688,SD GMIST NAZARET BAHOI TAGULANDANG,Kampung Bahoi,BAHOI,SWASTA
4,40104709,SD GMIST PATMOS LAINGPATEHI,Laingpatehi,KAMPUNG LAINGPATEHI,SWASTA
5,40104711,SD GMIST SION LESAH,Lesah,LESAH,SWASTA
6,40104712,SD GMIST TORSINA MULENGEN,MULENGEN,MULENGEN,SWASTA
7,40104724,SD NEGERI BOTO,Desa Boto,Boto,NEGERI
8,40104725,SD NEGERI BUHIAS,Balehumara,Balehumara,NEGERI
9,40104728,SD NEGERI INPRES BAHOI,Bahoi,BAHOI,NEGERI
10,40104729,SD NEGERI INPRES BALEHUMARA,Kelurahan Balehumara,BALEHUMARA,NEGERI
11,40104737,SD NEGERI INPRES LAINGPATEHI,Pumpente,Pumpente,NEGERI
12,40104738,SD NEGERI INPRES LESAH,KAMPUNG LESAH,LESAH,NEGERI
13,40104740,SD NEGERI INPRES MAHANGIANG,Jl. Agheng,MAHANGIANG,NEGERI
14,40104742,SD NEGERI INPRES MOHONGSAWANG,Apengsala,Kampung Apengsala,NEGERI
15,69989470,SD NEGERI LESAH RENDE,Kampung Lesah Rende,Lesah Rende,NEGERI
16,40104749,SD NEGERI TULUSAN,Tulusan,Kampung Tulusan,NEGERI
17,40104775,SMAN 1 TAGULANDANG,TAGULANDANG,Balehumara,NEGERI
18,40104758,SMP NEGERI 1 TAGULANDANG,Jl. Buhias,BAHOI,NEGERI
19,40104769,SMP NEGERI 3 TAGULANDANG,Jln Bukit Handayani,HAASI,NEGERI
20,40104772,SMP NEGERI 4 TAGULANDANG,Laingpatehi,LAINGPATEHI,NEGERI
21,40104773,SMP NEGERI 5 TAGULANDANG,Jalan Lesah,KAMPUNG LESAH,NEGERI
