
1,40101082,SD GMIM 1 KEMBES,Kembes 2,KEMBES 2,SWASTA
2,40101072,SD GMIM 2 KEMBES,Kembes 1,KEMBES 1,SWASTA
3,40101065,SD GMIM KAMANGTA,Kamangta,KAMANGTA,SWASTA
4,40101031,SD GMIM KOKA,Jaga 4,KOKA,SWASTA
5,40101002,SD GMIM RUMENGKOR,Rumengkor,RUMENGKOR,SWASTA
6,40101025,SD GMIM SULUAN,Suluan,SULUAN,SWASTA
7,40101007,SD GMIM TOMBULUAN,JLN DESA Jaga 2,TOMBULUAN,SWASTA
8,40101158,SD INPRES KAMANGTA,Jaga 1,KAMANGTA,NEGERI
9,40100805,SD INPRES KEMBES,Kembes 1,KEMBES 1,NEGERI
10,40100835,SD INPRES RUMENGKOR,Rumengkor,RUMENGKOR,NEGERI
11,40100837,SD INPRES SAWANGAN,Jaga Iv,SAWANGAN,NEGERI
12,40100842,SD INPRES SULUAN,Jaga V,SULUAN,NEGERI
13,40103397,SD KATOLIK KAMANGTA,Kamangta,KAMANGTA,SWASTA
14,40101184,SD KATOLIK KOKA,Koka Jaga 2,KOKA,SWASTA
15,40103401,SD KATOLIK SAWANGAN,Jaga Iii,SAWANGAN,SWASTA
16,40101308,SD KATOLIK ST PAULUS KEMBES,Jaga 3,KEMBES 1,SWASTA
17,40101108,SD KATOLIK ST THERESIA RUMENGKOR,Jaga 3,RUMENGKOR,SWASTA
18,40101183,SD KATOLIK TOMBULUAN,Jaga 2,TOMBULUAN,SWASTA
19,40101146,SD NEGERI SAWANGAN,Sawangan,SAWANGAN,NEGERI
20,P9952766,SKB TOMBULU,JAGA III Koka,Koka,NEGERI
21,40104902,SMAN 1 TOMBULU,JL. KEMBES SATU TOMBULU,Kembes Satu,NEGERI
22,40104899,SMKN 1 TOMBULU,TONDANO - KEMBES,RUMENGKOR,NEGERI
23,40100941,SMP KATOLIK KEMBES,Jaga III,Kembes Satu,SWASTA
24,40100920,SMP KRISTEN KAMANGTA,Kamangta,KMANGTA,SWASTA
25,40100922,SMP KRISTEN KEMBES,Kembes Satu,KEMBES SATU,SWASTA
26,40100924,SMP KRISTEN KOKA,Jaga III,KOKA,SWASTA
27,40100957,SMP NEGERI 1 TOMBULU,Rumengkor,RUMENGKOR,NEGERI
28,40100963,SMP NEGERI 2 TOMBULU,Suluan,Suluan,NEGERI
29,40103402,SMP Negeri 3 SATAP Tombulu,Sawangan Jaga II,SAWANGAN,NEGERI
