
1,69941584,MAS AL KAUTSAR MUHAMMADIYAH LIMA PULUH KOTA,Jl.Raya Negara Km 9,-,SWASTA
2,10263691,MAS PLUS TIGA BATUR,KOTO TUO,-,SWASTA
3,10263692,MAS SYECH ADDIMIN ARRADJI,TARAM,-,SWASTA
4,10311271,MTSS AD-DIMIN AR-RADJI,TANJUNG KUBANG,-,SWASTA
5,10311267,MTSS BATU BALANG,BATU BALANG,-,SWASTA
6,10311268,MTSS PI AL-IKHLAS TARAM,JL. H.DARWIS DT. TUMANGGUANG,-,SWASTA
7,10311269,MTSS PPM AL KAUTSAR,Jalan Jenderal Sudirman KM 9 Sarilamak,Sarilamak,SWASTA
8,10311270,MTSS RANTAU PANJANG,RANTAU PANJANG,-,SWASTA
9,10311272,MTSS TIGA BATUR,KOTO TUO,-,SWASTA
10,69757265,SDS MUHAMMADIYAH FULL DAY,Sarilamak,Sarilamak,SWASTA
11,10301186,SMAN 1 HARAU,JL. RAYA NEGARA KM 7,Koto Tuo,NEGERI
12,69786300,SMAN 2 HARAU,TARANTANG,TARANTANG,NEGERI
13,10301179,SMPS IBNU KHALDUN,Politani No.25 Tanjung Pati,Harau,SWASTA
14,10304206,UPTD SD NEGERI 01 BATU BALANG,Batu Balang,Batu Balang,NEGERI
15,10304209,UPTD SD NEGERI 01 BUKIK LIMBUKU,Bukik Limbuku,Bukik Limbuku,NEGERI
16,10304212,UPTD SD NEGERI 01 GURUN,Gurun,Gurun,NEGERI
17,10304213,UPTD SD NEGERI 01 HARAU,Harau,Harau,NEGERI
18,10304218,UPTD SD NEGERI 01 KOTO TUO,Tanjung Pati,Koto Tuo,NEGERI
19,10304223,UPTD SD NEGERI 01 LUBUAK BATINGKOK,Nagari Lubuak Batingkok,Lubuak Batingkok,NEGERI
20,10304228,UPTD SD NEGERI 01 PILUBANG,Pilubang,Pilubang,NEGERI
21,10304231,UPTD SD NEGERI 01 SARILAMAK,PURWAJAYA,Sarilamak,NEGERI
22,10304241,UPTD SD NEGERI 01 SOLOK BIO-BIO,Jorong Solok Dalam,Solok Bio-Bio,NEGERI
23,10304247,UPTD SD NEGERI 01 TARAM,Parak Baru Taram,Taram,NEGERI
24,10304248,UPTD SD NEGERI 01 TARANTANG,Tarantang,Tarantang,NEGERI
25,10304252,UPTD SD NEGERI 02 BATU BALANG,Batu Balang,Batu Balang,NEGERI
26,10304257,UPTD SD NEGERI 02 GURUN,Lubuak Jantan,Gurun,NEGERI
27,10304258,UPTD SD NEGERI 02 HARAU,Hulu Air,Harau,NEGERI
28,10304263,UPTD SD NEGERI 02 KOTO TUO,Tanjung Pati,Koto Tuo,NEGERI
29,10304268,UPTD SD NEGERI 02 LUBUAK BATINGKOK,Koto Tangah,Lubuak Batingkok,NEGERI
30,10304275,UPTD SD NEGERI 02 SARILAMAK,Sarilamak,Sarilamak,NEGERI
31,10304284,UPTD SD NEGERI 02 SOLOK BIO-BIO,JORONG BIO-BIO,Solok Bio-Bio,NEGERI
32,10304290,UPTD SD NEGERI 02 TARAM,JORONG TANJUNG KUBANG,Taram,NEGERI
33,10304291,UPTD SD NEGERI 02 TARANTANG,Lubuak Limpato,Tarantang,NEGERI
34,10304296,UPTD SD NEGERI 03 BATU BALANG,Jorong Boncah,Batu Balang,NEGERI
35,10304301,UPTD SD NEGERI 03 HARAU,Landai,Harau,NEGERI
36,10304305,UPTD SD NEGERI 03 KOTO TUO,Pulutan,Koto Tuo,NEGERI
37,10304311,UPTD SD NEGERI 03 LUBUAK BATINGKOK,Tigo Balai,Lubuak Batingkok,NEGERI
38,10304318,UPTD SD NEGERI 03 SARILAMAK,Lubuak Bangku,Sarilamak,NEGERI
39,10304330,UPTD SD NEGERI 03 TARAM,BALAI CUBADAK,Taram,NEGERI
40,10304331,UPTD SD NEGERI 03 TARANTANG,Tarantang,Tarantang,NEGERI
41,10304336,UPTD SD NEGERI 04 BATU BALANG,Tiga Alur,Batu Balang,NEGERI
42,10304341,UPTD SD NEGERI 04 KOTO TUO,Padang Rantang,Koto Tuo,NEGERI
43,10304353,UPTD SD NEGERI 04 SARILAMAK,Jalan Wisata Lembah Harau Sarilamak,Sarilamak,NEGERI
44,10304362,UPTD SD NEGERI 04 TARAM,Jorong Tanjuang Ateh Taram,Taram,NEGERI
45,10304368,UPTD SD NEGERI 05 KOTO TUO,Koto Tuo,Koto Tuo,NEGERI
46,10304375,UPTD SD NEGERI 05 SARILAMAK,Sarilamak,Sarilamak,NEGERI
