
1,69957020,MAN 2 Padang Pariaman,"DESA PAINGAN, NAG. KURANJI HILIR, KEC. SEI. LIMAU, KAB. PD. PARIAMAN",KURANJI HILIR,NEGERI
2,10311194,MTSS AIR MANIS SUNGAI LIMAU,AIR MANIS KECAMATAN SUNGAI LIMAU,-,SWASTA
3,10311195,MTSS PAINGAN,JL. SITI MANGGOPOH,KURANJI HILIR,SWASTA
4,10311196,MTSS SUNGAI RAMBAH,JL. SUNGAI RAMBAH PILUBANG KEC. SUNGAI LIMAU KAB. PADANG PARIAMAN,PILUBANG,SWASTA
5,10306992,SD N 01 SUNGAI LIMAU,Sungai Sirah,Pilubang,NEGERI
6,10307001,SD N 02 SUNGAI LIMAU,Sungai Limau,Kuranji Hilir,NEGERI
7,10307007,SD N 03 SUNGAI LIMAU,Lohong,KURANJI HILIR,NEGERI
8,10307015,SD N 04 SUNGAI LIMAU,"Jln.simp. barebeh, Pasir Baru,kec.Sungai Limau,Padang Pariaman",Pasir baru,NEGERI
9,10307022,SD N 05 SUNGAI LIMAU,Padang Galo,Pilubang,NEGERI
10,10307029,SD N 06 SUNGAI LIMAU,Padang Olo,Kuranji Hilir,NEGERI
11,10307042,SD N 08 SUNGAI LIMAU,Sungai Limau,Kuranji Hilir,NEGERI
12,10307048,SD N 09 SUNGAI LIMAU,Pinjauan,Pilubang,NEGERI
13,10307054,SD N 10 SUNGAI LIMAU,Paingan,Kuranji Hilir,NEGERI
14,10307060,SD N 11 SUNGAI LIMAU,Padang Karambie,Kuranji hilir,NEGERI
15,10307066,SD N 12 SUNGAI LIMAU,Durian Daun,Pilubang,NEGERI
16,10307072,SD N 13 SUNGAI LIMAU,Kamumuan,Kuranji Hilir,NEGERI
17,10307078,SD N 14 SUNGAI LIMAU,Sungai Basa,PILUBANG,NEGERI
18,10307084,SD N 15 SUNGAI LIMAU,Padang Bintungan,Kuranji Hilir,NEGERI
19,10307089,SD N 16 SUNGAI LIMAU,Lampanjang,kuranji Hilir,NEGERI
20,10307094,SD N 17 SUNGAI LIMAU,Kampung Pisang,KURANJI HILIR,NEGERI
21,10307099,SD N 18 SUNGAI LIMAU,Lembak Pasang,Pilubang,NEGERI
22,10307103,SD N 19 SUNGAI LIMAU,Duku,Pilubang,NEGERI
23,10307106,SD N 20 SUNGAI LIMAU,Pinjauan,Pilubang,NEGERI
24,10307109,SD N 21 SUNGAI LIMAU,Padang Olo,Kuranji Hilir,NEGERI
25,10307113,SD N 22 SUNGAI LIMAU,Sibaruas,Pilubang,NEGERI
26,10307116,SD N 23 SUNGAI LIMAU,Cengkeh,Pilubang,NEGERI
27,10307121,SD N 25 SUNGAI LIMAU,Kamumuan,Kuranji Hilir,NEGERI
28,10307126,SD N 27 SUNGAI LIMAU,Sungai Paku,KURANJI HILIR,NEGERI
29,10307128,SD N 28 SUNGAI LIMAU,Dadok putih,KURANJI HILIR,NEGERI
30,10307130,SD N 29 SUNGAI LIMAU,Lohong,Kuranji Hilir,NEGERI
31,10307132,SD N 30 SUNGAI LIMAU,Koto Pauh,Kuranji Hilir,NEGERI
32,10307135,SD N 32 SUNGAI LIMAU,Paingan,Guguak Kuranji Hilir,NEGERI
33,10307136,SD N 33 SUNGAI LIMAU,Padang Olo,Kuranji Hilir,NEGERI
34,10307137,SD N 34 SUNGAI LIMAU,Pinjauan,Pilubang,NEGERI
35,10307138,SD N 35 SUNGAI LIMAU,Sungai Limau,Kuranji Hilir,NEGERI
36,10307139,SD N 36 SUNGAI LIMAU,Duku,PILUBANG,NEGERI
37,10307140,SD N 37 SUNGAI LIMAU,Paingan,KURANJI HILIR,NEGERI
38,10307141,SD N 38 SUNGAI LIMAU,Durian Daun,Pilubang,NEGERI
39,10307142,SD N 39 SUNGAI LIMAU,Pinjauan,PILUBANG,NEGERI
40,10307144,SD N 41 SUNGAI LIMAU,Bukit Karambie,Pilubang,NEGERI
41,10307134,SD NEGERI 31 SUNGAI LIMAU,Pasir Baru,Pilubang,NEGERI
42,10307143,SD NEGERI 40 SUNGAI LIMAU,Kamumuan,Kuranji Hilir,NEGERI
43,10307036,SDN 07 SUNGAI LIMAU,Sungai Sirah,PILUBANG,NEGERI
44,10307118,SDN 24 SUNGAI LIMAU,Koto Pauh,Kuranji Hilir,NEGERI
45,10307124,SDN 26 SUNGAI LIMAU,Lembak Pasang,Pilubang,NEGERI
46,P9948292,SKB Kabupaten Padang Pariaman,Jl. Tanah Lapang,KURANJI HILIR,NEGERI
47,10305565,SMAN 1 SUNGAI LIMAU,Jl. Raya Pariaman - Tiku KM 18,KOTO TINGGI KURANJI HILIR,NEGERI
48,10305570,SMAN 2 SUNGAI LIMAU,JL. SITIMANGGOPOH SUNGAI SIRAH,PILUBANG,NEGERI
49,69900809,SMK MARITIM NUSANTARA,"Jln, Padang Bintungan Sungai Limau Padang Pariaman",KURANJI HILIR,SWASTA
50,10310791,SMKN 1 SUNGAI LIMAU,PADANG GALO,PILUBANG,NEGERI
51,10306117,SMP NEGERI 2 SUNGAI LIMAU,Jalan Raya Sungai Limau - Sungai Geringging Km.1 Korong Padang Bintungan,KURANJI HILIR,NEGERI
52,60724583,SMP NEGERI 4 SUNGAI LIMAU,Pasir Baru,PILUBANG,NEGERI
53,60724584,SMP NEGERI 5 SUNGAI LIMAU,Padang Galo,PILUBANG,NEGERI
54,10306110,SMPN 01 SUNGAI LIMAU,Jl. Padang Pasir Sungai Limau,KURANJI HILIR,NEGERI
55,10306122,SMPN 03 SUNGAI LIMAU,Jalan Sibaruas,PILUBANG,NEGERI
