
1,69995605,LA TANSA MUSTIKA,JL. MERDEKA KM. 10,,SWASTA
2,69753648,MAS YPII TALANG UBI,JL. JENDRAL SUDIRMAN NO.32,Talang Ubi Timur,SWASTA
3,60725104,MIN 1 PENUKAL ABAB LEMATANG ILIR,JL. JEND. SUDIRMAN NO. 32,Talang Ubi Timur,NEGERI
4,69975947,MTS AL-FALAHIYAH,DUSUN IV,Sungai Baung,SWASTA
5,69975948,MTS RAUDHOTUL JANNAH,JL. TAMAN SISWA,Talang Ubi Selatan,SWASTA
6,69983208,MTSN PALI,JL. MERDEKA,Talang Ubi Timur,SWASTA
7,69752231,MTSS YPII TALANG UBI,JL. JENDRAL SUDIRMAN NO.32,Talang Ubi Timur,SWASTA
8,P9970333,SANGGAR KEGIATAN BELAJAR KABUPATEN PENUKAL ABAB LEMATANG ILIR,JALAN ARUN PENDOPO TALANG UBI,Talang Ubi Barat,NEGERI
9,69947041,SD IT INSAN MULIA PENDOPO,JL. PENDIDIKAN PELITA TALANG UBI TIMUR,Talang Ubi Timur,SWASTA
10,69987339,SD IT LA TANSA MUSTIKA,Jl.Merdeka KM.10,Handayani Mulya,SWASTA
11,69932142,SD IT RAUDHOTUL JANNAH,Jl Taman Siswa Rt 002 Rw 002 Talang Ubi Selatan,Talang Ubi Selatan,SWASTA
12,10645756,SD MUHAMMADIYAH PENDOPO,Jl. Muhammadiyah No. 40,Pasar Bayangkara,SWASTA
13,10645715,SD N 24 TALANG UBI,Jl.Raya Teluk Lubuk-Sekayu,Karta Dewa,NEGERI
14,10645707,SD NEGERI 15 TALANG UBI,Jl. Telaga Said Bukit Tudung,TALANG UBI BARAT,NEGERI
15,10645754,SD YKPP PENDOPO,Talang Ubi Utara,Talang Ubi Utara,SWASTA
16,10645755,SD YPIP TALANG UBI,JL. Telaga Said No.02 Pendopo,TALANG UBI Barat,SWASTA
17,69972478,SDIT Al falahiyah,Dusun IV Sungai Baung,Sungai Baung,SWASTA
18,10645593,SDN 1 TALANG UBI,Talang Ubi Timur,Talang ubi,NEGERI
19,10645982,SDN 10 TALANG UBI,Jl. PELAJAR REJOSARI TALANG UBI UTARA,TALANG UBI,NEGERI
20,10646141,SDN 11 TALANG UBI,TALANG JAWA,TALANG UBI BARAT,NEGERI
21,10645704,SDN 12 TALANG UBI,Ling I Talang Ubi Selatan,Talang Ubi Selatan,NEGERI
22,10645705,SDN 13 TALANG UBI,Jl. Kebun Sayur Talang Ubi Timur,TALANG UBI TIMUR,NEGERI
23,10645706,SDN 14 TALANG UBI,Handayani Mulia,Handayani Mulya,NEGERI
24,10645708,SDN 16 TALANG UBI,Talang Ubi Utara,TALANG UBI UTARA,NEGERI
25,10645709,SDN 17 TALANG UBI,Jl. Plaju Simpang Lima Talang Ubi Timur,TALANG UBI TIMUR,NEGERI
26,10645718,SDN 18 TALANG UBI,Jalan Pertamina Sukamaju,Suka Maju,NEGERI
27,10645720,SDN 19 Talang Ubi,Suka Maju,Suka Maju,NEGERI
28,10645594,SDN 2 TALANG UBI,Jl. Pangkalan Berandan Talang Baru,TALANG UBI BARAT,NEGERI
29,10645753,SDN 20 TALANG UBI SURYABUMI AGROLANGGENG,Jl. Pendopo Pertamina,simpang tais,NEGERI
30,10645743,SDN 21 TALANG UBI,Benakat Minyak,BENAKAT MINYAK,NEGERI
31,10645983,SDN 22 TALANG UBI,Beruge Darat,Beruge Darat,NEGERI
32,10645721,SDN 23 TALANG UBI,Dusun Dua Bulu Kuring,SUKA DAMAI,NEGERI
33,10645711,SDN 25 TALANG UBI,DUSUN I PAL TIGA,Talang Akar,NEGERI
34,10645716,SDN 26 TALANG UBI,Jl.Lintas Sekayu Dusun III Desa Panta Dewa,PANTA DEWA,NEGERI
35,10645750,SDN 27 TALANG UBI,Dusun  IV Desa  Benakat Minyak,BENAKAT MINYAK,NEGERI
36,10645710,SDN 28 TALANG UBI,Jl. Simpang Raja Rt 08 Rw 04 Kel.Handayani Mulya,Handayani Mulya,NEGERI
37,10645751,SDN 29 Talang Ubi,Semangus,Semangus,NEGERI
