
1,69895086,IslamTerapan At-Tauhiid,Palembang inderalaya km 24,Suka Merindu,SWASTA
2,10648757,MTSS TASHILIYAH,JL. MAYOR ISKANDAR DESA TALANG PANGERAN,-,SWASTA
3,10605681,SD NEGERI 01 PEMULUTAN BARAT,Jl. Mayor Iskandar Dusun III,Talang Pangeran Ilir,NEGERI
4,10605805,SD NEGERI 03 PEMULUTAN BARAT,Jl.mayor Iskandar,Kamal,NEGERI
5,10605846,SD NEGERI 04 PEMULUTAN BARAT,Dusun I,Saranglang,NEGERI
6,10605902,SD NEGERI 05 PEMULUTAN BARAT,Jln Mayor Iskandar,ULAK PETANGISAN,NEGERI
7,10605870,SD NEGERI 06 PEMULUTAN BARAT,Jl. Mayor Iskandar Dusun III,Talang Pangeran Ulu,NEGERI
8,10605900,SD NEGERI 07 PEMULUTAN BARAT,JLN. MAYOR ISKANDAR,ULAK KEMBAHANG II,NEGERI
9,10605656,SD NEGERI 08 PEMULUTAN BARAT,Desa Seri Banding,Seribanding,NEGERI
10,10605857,SD NEGERI 09 PEMULUTAN BARAT,Desa Sukamerindu,SUKAMERINDU,NEGERI
11,10605716,SD NEGERI 10 PEMULUTAN BARAT,JL.Arisan Baru,SERIBANDING,NEGERI
12,10605840,SD NEGERI 11 PEMULUTAN BARAT,Desa Pulau Negara,PULAU NEGARA,NEGERI
13,10605766,SD NEGERI 12 PEMULUTAN BARAT,Jl Mayor Iskandar,Arisan Jaya,NEGERI
14,10646582,SMA NEGERI 1 PEMULUTAN BARAT,JL. MAYOR  ISKANDAR,TALANG PANGERAN ULU,NEGERI
15,10647026,SMK NURUL HUDA,JL. MAYOR ISKANDAR DESA ULAK KEMBAHANG II,Ulak Kembahang Ii,SWASTA
16,10643766,SMP NEGERI 1 PEMULUTAN BARAT,Jalan Mayor Iskandar,TALANG PANGERAN ULU,NEGERI
17,10646776,SMP NEGERI 2 PEMULUTAN BARAT,Jln. Desa Arisan Jaya,ARISAN JAYA,NEGERI
18,10643768,SMP NURUL HUDA,Jl. Mayor Iskandar Ds  Dua,ULAK KEMBAHANG I,SWASTA
