
1,10264855,MAS MUSTHAFAWIYAH,JL. LINTAS MEDAN-PADANG,Purba Baru,SWASTA
2,60728920,MAS ROIHANUL JANNAH,PASAR MAGA,Pasar Maga,SWASTA
3,10264343,MTSS MUSTHAFAWIYAH,JLN LINTAS SUMATERA,Purba Baru,SWASTA
4,10208440,SD NEGERI 156 MAGA LOMBANG,Maga Lombang,MAGA LOMBANG,NEGERI
5,10208439,SD NEGERI 157 MAGA DOLOK,Maga Dolok,Maga Dolok,NEGERI
6,10208430,SD NEGERI 158 BATUGODANG,Batugodang,BATUGODANG,NEGERI
7,10208418,SD NEGERI 159 PURBA BARU,Purba Baru,Purba Baru,NEGERI
8,10208421,SD NEGERI 160 PANGKAT,Pangkat,Pangkat,NEGERI
9,10208005,SD NEGERI 161 BANGUNPURBA,Bangun Purba,BANGUN PURBA,NEGERI
10,10208046,SD NEGERI 162 AEKMARIAN,Aek marian,AEK MARIAN,NEGERI
11,10257592,SD NEGERI 163 MAGA LOMBANG,Maga Lombang,MAGA LOMBANG,NEGERI
12,10208147,SD NEGERI 164 PASAR MAGA,Pasar Maga,PASAR MAGA,NEGERI
13,10208148,SD NEGERI 165 SIANTONA,Siantona,SIANTONA,NEGERI
14,10208125,SD NEGERI 166 PURBA LAMO,Purba Lamo,PURBA LAMO,NEGERI
15,10208079,SMKN 1 LEMBAH SORIK MARAPI,Jl. Pertanian - Aek Marian,Aek Marian Mg,NEGERI
16,10259683,SMP NEGERI 1 LEMBAH SORIKMARAPI,Jl. Medan-Padang No. Maga,MAGA,NEGERI
