
1,10206383,SD NEGERI 173242 SIMANGUMBAN,Simangumban,AEK NABARA,NEGERI
2,10206388,SD NEGERI 173247 AEKSAH,Aeksah,DESA SIMANGUMBAN JAE,NEGERI
3,10206319,SD NEGERI 173250 MUARA TOLANG,Muara Tolang,DESA DOLOK SAUT,NEGERI
4,10206320,SD NEGERI 173251 HOPONG,Simangumban,DOLOK SANGGUL,NEGERI
5,10206322,SD NEGERI 173252 PARDOMUAN,Pardomuan,DESA PARDOMUAN,NEGERI
6,10206323,SD NEGERI 173253 LUMBAN GARAGA,Dolok Sanggul,DESA DOLOK SANGGUL,NEGERI
7,10206097,SD NEGERI 174574 SIMANGUMBAN,Simangumban,DESA SIMANGUMBAN,NEGERI
8,10257959,SD NEGERI 174625 LOBUSIHIM,Simangumban,DESA LOBUSIHIM,NEGERI
9,10206031,SD NEGERI 175749 AEKRAU,Jln. Sipirok Tarutung,DESA SIMANGUMBAN JULU,NEGERI
10,10206049,SD NEGERI 176334 LOSUNG AEK,Jln. Sipirok,SIMANGUMBAN JULU,NEGERI
11,10206208,SD NEGERI 177924 SILOSUNG,Simangumban,DESA SILOSUNG,NEGERI
12,10206136,SMAN 1 SIMANGUMBAN,JL. SIPIROK  SIMANGUMBAN,Simangumban Jae,NEGERI
13,10206140,SMP NEGERI 1 SIMANGUMBAN,Jl Sipirok,Simangumban Julu,NEGERI
14,10220268,SMP NEGERI 2 SIMANGUMBAN,Muaratolang,Dolok Saut,NEGERI
