
1,10264694,MAS YAPI TINGGI RAJA,JL. BESAR TINGGI RAJA PEKAN,TINGGI RAJA PEKAN,SWASTA
2,60703623,MIS ISLAMIYAH TERUSAN ULU,DESA TERUSAN ULU,PAANG SAR,SWASTA
3,10264089,MTSS AL-AMIN,BUKIT SARI,-,SWASTA
4,10264087,MTSS AMALIYAH PIASA ULU,JL.BESAR SEI KAMPAK DESA PIASA ULU,PIASA ULU,SWASTA
5,10264088,MTSS YAPI TINGGI RAJA,JL. BESAR TINGGI RAJA,TINGGI RAJA,SWASTA
6,10204798,SD NEGERI 010109 PIASA ULU,Jln. Besar Sei Kampak,Piasa Ulu,NEGERI
7,10204796,SD Negeri 010111 Tinggi Raja,Tinggi Raja,Tinggi Raja,NEGERI
8,10204803,SDN 010103 TINGGI RAJA,Tinggi Raja,TINGGI RAJA,NEGERI
9,10204802,SDN 010104 SUMBER HARAPAN,Sumber Harapan,SUMBER HARAPAN,NEGERI
10,10204292,SDN 013843 TERUSAN TENGAH,Terusan Tengah,Terusan Tengah,NEGERI
11,10203945,SDN 013844 Sidomulyo,Sidomulyo,Sido Mulyo,NEGERI
12,10204015,SDN 014674 Sumber Harapan,Sumber Harapan,Sumber Harapan,NEGERI
13,10204011,SDN 014677 TELADAN,Jln. Besar Teladan,Teladan,NEGERI
14,10204010,SDN 014678 TERUSAN TENGAH,DSN VIII TERUSAN TENGAH,Terusan Tengah,NEGERI
15,10203772,SDN 015900 TINGGI RAJA,Tinggi Raja,Tinggi Raja,NEGERI
16,10203809,SDN 015901 Piasa Ulu,DESA PIASA ULU,PIASA ULU,NEGERI
17,10203839,SDN 016523 TELADAN,Teladan,TELADAN,NEGERI
18,69786708,SMA SWASTA SWADAYA TINGGI RAJA,Jalan Teratai Desa Tinggi Raja,Tinggi Raja,SWASTA
19,10258748,SMAS DARMA PUTRA,JL. BESAR DESA PIASA ULU,Piasa Ulu,SWASTA
20,10204102,SMP NEGERI 1 TINGGI RAJA,Kab. Asahan,Tinggi Raja,NEGERI
21,10259393,SMP NEGERI 2 TINGGI RAJA SATU ATAP,Jl. Aek Sopang,Desa Teladan,NEGERI
22,10204048,SMP SWSATA DARMA PUTRA,Jalan Besar Desa Piasa Ulu,Piasa Ulu,SWASTA
