60105606,MAN 4 MALUKU TENGAH,JL. GUNUNG MANANGIS DESA RAJAWALI,Rajawali,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
69994425,MI AR - RAHMAN SOAHUKU,"DESA SOAHUKU, KEC. AMAHAI KAB. MALUKU TENGAH",,SWASTA,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60724360,MIN 6 MALUKU TENGAH,Jln. Perkasit RT. 03,Pulau Rhun,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60717069,MIS Al-Hilaal Neira,Jln. Pendidikan Desa Dwiwarna,Dwi Warna,SWASTA,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60724362,MIS AL-HILAAL PULAU HATTA,JL. KAMPUNG BARU RT. 03,-,SWASTA,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60724363,MIS AL-HILAL DENDER,DENDER,-,SWASTA,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
69994424,MTs ULU PAHA SEITH,JL. KAPITAN ULUPAHA SEITH,,SWASTA,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60105636,MTSS AL-HILAAL BANDA,JLN. PENDIDIKAN DWIWARNA,Dwi Warna,SWASTA,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60105516,MTSS GEMALA HATTA,JLN. PENDIDIKAN P.RHUN,-,SWASTA,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100593,SD INPRES AY,Pulau  Ay,DESA  AY,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100435,SD INPRES KUMBER,Banda,Combir Kasestoren,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100442,SD INPRES LONTHOIR,Lonthoir,LONTHOR,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100448,SD INPRES NAIRA,Jln. Pendidikan. Desa Dwiwarna,Dwi Warna,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100512,SD INPRES TANAH RATA,Tanah Rata,Tanah Rata,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100703,SD INPRES URING,Jln.  Pendidikan,Uring Tutra,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100704,SD INPRES WAER,Waer,WAER,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100710,SD INPRES WALING,Jalan Boy Saidi,Wailing Spanciby,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100618,SD NEGERI 1 NAIRA,Jln. Guntur  Hijau,Kampung Baru,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100660,SD NEGERI 2 NAIRA,Jln.dr  Rehatta,DESA  DWIWARNA,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100648,SD NEGERI 3 NAIRA,Jln  Dr  Rehatta,Dwi Warna,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100212,SD NEGERI 4 NAIRA,Jln Maitaman,Kampung Baru,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100228,SD NEGERI BEBY MANDI,Jln.concordia,Waer,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
69937596,SD Negeri Bouyauw,Jl. Lohi RT. 02 - Desa Bouyauw,BOIYAUW,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60103891,SD NEGERI LAUTANG,Lautang,Lautang,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100207,SD NEGERI LOTHOIR,Jln. Lakui RT.02,Lonthor,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60103887,SD NEGERI PULAU HATTA,Pulau Hatta,Pulau Hatta,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100266,SD NEGERI RHUN,PULAU RHUN,PULAU RHUN,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100252,SD NEGERI SELAMON,Raning Rt 05 Desa Selamon,Selamon,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100153,SMA Negeri 1 Maluku Tengah,JL. NIRA WATRO,Kampung Baru,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60103518,SMA Negeri 30 Maluku Tengah,Jl. Boi Saidi RT.02,Wailing Spanciby,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
69870898,SMA Negeri 52 Maluku Tengah,WAER,Waer,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100189,SMK Negeri 3 Maluku Tengah,PANTAI MALOLE,Rajawali,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100271,SMP NEGERI 1 BANDA,Jln. Guntur Hijau,Dwi Warna,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100101,SMP NEGERI 2 BANDA,Waling Spancibi,Wailing Spanciby,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100114,SMP NEGERI 3 BANDA,Banda,Pulau Ai,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60102212,SMP NEGERI 4 BANDA,Jl.  Durian  Kote  Waer,Waer,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60103878,SMP NEGERI 5 BANDA SATU ATAP,PULAU RHUN,PULAU RHUN,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
61102181,SMP NEGERI 6 BANDA SATU ATAP,Tanah Rata,Tanah Rata,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60102248,SMP NEGERI 8 BANDA SATU ATAP,Jalan Tanda Ranang,Selamon,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60102200,SMP NEGERI 9 BANDA SATU ATAP,Pulau Hatta,Pulau Hatta,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60100140,SMP PGRI BANDA,Jalan Pendidikan,Dwi Warna,SWASTA,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
69774663,SMPN 10 BANDA,LONTHOIR,LONTHOIR,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
69727034,SMPN 7 BANDA SATAP,DESA URING,Uring Tutra,NEGERI,Kec. Banda,Kab. Maluku Tengah,Prov. Maluku
60105620,MAS AL-HILAAL TEHORU,JL. IFAHULU,Tehoru,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60724384,MIN 4 MALUKU TENGAH,JL. NUNUMAHU,Tehoru,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60724386,MIS AL-HILAAL HAYA,JLN. AMALATU HAYA,Haya,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60724385,MIS AL-HILAAL LAHA KABA,DESA LAHA KABA,Lahakaba,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60724387,MIS AL-HILAAL LAIMU,JLN. DIPONEGORO LAIMU,Laimu,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60724388,MIS AL-HILAAL YAPUTIH,JLN. MANGGIS YAPUTIH,Yaputih,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
69854317,MIS Assalam Wolu,Jln. Lintas Seram Wolu,Wolu,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60724389,MIS AT-TAQWA TEHUA,JLN. LINTAS SERAM TEHUA,Tehua,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
69956052,MTs GOTONG ROYONG HAYA,Jl. Amalatu Negeri Haya,Haya,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60105537,MTSS AL-HILAAL TEHORU,JLN. NAMASINA DESA TEHORU KEC. TEHORU,Tehoru,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60105536,MTSS LKMD YAPUTIH,JLN. MANGGIS,Saunulu,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
69963513,MTSS Ulupaha Namasula,"Jln. Lintas Tehoru, Dusun Namasula",Haya,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60103478,SD GOTONG ROYONG SAPTA MARGA,Saunulu,SAUNULU,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100459,SD INPRES HATUMETE,Hatumete,HATUMETE,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100460,SD INPRES HAYA,Haya,HAYA,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100473,SD INPRES NAMASULA,Namasula,NAMASULA,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100511,SD INPRES SAKANUSA,Sakanusa,HAYA,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100675,SD INPRES TEHORU,Tehoru,Tehoru,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100697,SD INPRES TELUTIH BARU,Jl. Waelessy Teluti Baru,Teluti Baru,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100712,SD INPRES WAYA TEHORU,jln. Gupasa,TEHORU,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100689,SD KRISTEN HATU,HATU,HATU,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100744,SD KRISTEN PILIANA,Piliana,PILIANA,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100742,SD KRISTEN SAUNULU,Saunulu,SAUNULU,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60103477,SD NEGERI HAYA,Haya,HAYA,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100229,SD NEGERI MAHU TEHORU,Mahu-Tehoru,Tehoru,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
69725860,SD NEGERI MISSA,SD Negeri Missa,Haya,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100255,SD NEGERI MOSSO,Mosso,Mosso,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100268,SD NEGERI SALAMAHU,Salamahu,SALAMAHU,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100236,SD NEGERI SUPULESSY,SUPULESSY,Tehoru,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100237,SD NEGERI TEHORU,Tehoru,TEHORU,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100239,SD NEGERI TELUTIH BARU,Jl. Waelessy Telutih Baru,Teluti Baru,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100132,SD NEGERI YAPUTIH,Yaputih,YAPUTIH,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
69974791,SMA MUHAMMADIYAH MISSA,"Jl. Raya Missa, KM. 24",Haya,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60103737,SMA Negeri 32 Maluku Tengah,JLN. WAILOLU,Hatu,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
69947368,SMA Negeri 59 Maluku Tengah,Jl. Pendidikan. Lintas Seram Saju-Tehoru,Tehoru,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100317,SMA Negeri 9 Maluku Tengah,JL. WAE YAPANA,Tehoru,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60103509,SMAN 2 TEHORU,JL. TARBIYAH,HAYA,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
69870670,SMAN 4 Tehoru,YAPUTIH,Yaputih,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60102238,SMAS AL - HILAAL TEHORU,JLN.NUNUMAHU,TEHORU,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100360,SMP ALHILAAL HAYA,Jalan Amalatu,HAYA,SWASTA,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60100284,SMP NEGERI 1 TEHORU,Fahuhu Tehoru,TEHORU,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60103830,SMP NEGERI 2 TEHORU SATU ATAP,Supulessy,TEHORU,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60103832,SMP NEGERI 3 TEHORU SATU ATAP SALAMAHU,Salamahu/missa,Haya,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
69787137,SMP NEGERI 4 TEHORU SATU ATAP,Saunulu,Saunulu,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
60102203,SMP NEGERI 5 TEHORU,Haya,NEGERI HAYA-TEHORU,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
69815315,SMP NEGERI 6 TEHORU SATU ATAP,NEGERI MOSSO-TEHORU,Mosso,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
69870900,SMP NEGERI 7 TEHORU,mahu,Saunulu,NEGERI,Kec. Tehoru,Kab. Maluku Tengah,Prov. Maluku
